"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"St. Mary Parish, LA"	"22101"	14	50973	Unreliable	Unreliable
	"St. Tammany Parish, LA"	"22103"	84	256327	32.8	33.4
	"Tangipahoa Parish, LA"	"22105"	40	132497	30.2	31.3
	"Terrebonne Parish, LA"	"22109"	51	112086	45.5	46.1
	"Washington Parish, LA"	"22117"	31	46633	66.5	69.0
	"Androscoggin County, ME"	"23001"	22	107651	20.4	22.2
	"Cumberland County, ME"	"23005"	97	292500	33.2	34.1
	"Kennebec County, ME"	"23011"	55	121821	45.1	49.1
	"Knox County, ME"	"23013"	10	39790	Unreliable	Unreliable
	"Penobscot County, ME"	"23019"	62	151957	40.8	44.1
	"Somerset County, ME"	"23025"	19	50626	Unreliable	Unreliable
	"Washington County, ME"	"23029"	15	31593	Unreliable	Unreliable
	"York County, ME"	"23031"	92	204191	45.1	48.2
	"Allegany County, MD"	"24001"	39	71615	54.5	61.9
	"Anne Arundel County, MD"	"24003"	257	573235	44.8	45.0
	"Baltimore County, MD"	"24005"	422	832468	50.7	51.3
	"Calvert County, MD"	"24009"	37	91502	40.4	44.2
	"Caroline County, MD"	"24011"	15	33193	Unreliable	Unreliable
	"Carroll County, MD"	"24013"	60	167781	35.8	40.3
	"Cecil County, MD"	"24015"	73	102746	71.0	74.0
	"Charles County, MD"	"24017"	48	159700	30.1	29.7
	"Dorchester County, MD"	"24019"	14	32162	Unreliable	Unreliable
	"Frederick County, MD"	"24021"	84	252022	33.3	34.4
	"Garrett County, MD"	"24023"	11	29233	Unreliable	Unreliable
	"Harford County, MD"	"24025"	109	252160	43.2	46.2
	"Howard County, MD"	"24027"	61	321113	19.0	19.5
	"Montgomery County, MD"	"24031"	131	1058810	12.4	12.4
	"Prince George's County, MD"	"24033"	158	912756	17.3	15.9
	"Queen Anne's County, MD"	"24035"	12	49770	Unreliable	Unreliable
	"St. Mary's County, MD"	"24037"	40	112667	35.5	36.3
	"Talbot County, MD"	"24041"	11	37103	Unreliable	Unreliable
	"Washington County, MD"	"24043"	53	150578	35.2	38.5
	"Wicomico County, MD"	"24045"	33	102923	32.1	34.5
	"Worcester County, MD"	"24047"	18	51690	Unreliable	Unreliable
	"Baltimore city, MD"	"24510"	551	611648	90.1	85.2
	"Barnstable County, MA"	"25001"	76	213444	35.6	48.3
	"Berkshire County, MA"	"25003"	34	126313	26.9	31.9
	"Bristol County, MA"	"25005"	267	561483	47.6	49.7
	"Essex County, MA"	"25009"	326	785205	41.5	44.0
	"Franklin County, MA"	"25011"	12	70702	Unreliable	Unreliable
	"Hampden County, MA"	"25013"	122	469818	26.0	26.5
	"Hampshire County, MA"	"25015"	34	161834	21.0	23.2
	"Middlesex County, MA"	"25017"	372	1602947	23.2	22.3
	"Norfolk County, MA"	"25021"	167	700322	23.8	24.4
	"Plymouth County, MA"	"25023"	211	515142	41.0	45.8
	"Suffolk County, MA"	"25025"	275	797939	34.5	34.0
	"Worcester County, MA"	"25027"	267	826116	32.3	33.0
	"Allegan County, MI"	"26005"	15	116447	Unreliable	Unreliable
	"Bay County, MI"	"26017"	25	104239	24.0	24.9
	"Berrien County, MI"	"26021"	24	154259	15.6	19.0
	"Calhoun County, MI"	"26025"	46	134128	34.3	38.9
	"Clinton County, MI"	"26037"	13	78443	Unreliable	Unreliable
	"Eaton County, MI"	"26045"	18	109027	Unreliable	Unreliable
	"Genesee County, MI"	"26049"	161	407385	39.5	43.2
	"Grand Traverse County, MI"	"26055"	21	91807	22.9	23.3
	"Huron County, MI"	"26063"	11	31280	Unreliable	Unreliable
	"Ingham County, MI"	"26065"	76	290186	26.2	26.5
	"Ionia County, MI"	"26067"	12	64291	Unreliable	Unreliable
	"Jackson County, MI"	"26075"	13	158640	Unreliable	Unreliable
	"Kalamazoo County, MI"	"26077"	54	262985	20.5	21.4
	"Kent County, MI"	"26081"	129	648594	19.9	20.1
	"Lapeer County, MI"	"26087"	21	88174	23.8	24.9
	"Lenawee County, MI"	"26091"	13	98623	Unreliable	Unreliable
	"Livingston County, MI"	"26093"	44	189651	23.2	24.8
	"Macomb County, MI"	"26099"	394	871375	45.2	45.4
	"Monroe County, MI"	"26115"	59	149649	39.4	42.2
	"Montcalm County, MI"	"26117"	15	63550	Unreliable	Unreliable
	"Muskegon County, MI"	"26121"	41	173693	23.6	27.0
	"Newaygo County, MI"	"26123"	11	48242	Unreliable	Unreliable
	"Oakland County, MI"	"26125"	183	1250836	14.6	14.7
	"Ottawa County, MI"	"26139"	47	286383	16.4	17.2
	"Saginaw County, MI"	"26145"	50	191934	26.1	28.4
	"St. Clair County, MI"	"26147"	68	159350	42.7	45.5
	"Shiawassee County, MI"	"26155"	21	68446	30.7	31.9
	"Van Buren County, MI"	"26159"	24	75353	31.9	32.4
	"Washtenaw County, MI"	"26161"	73	367627	19.9	20.1
	"Wayne County, MI"	"26163"	756	1753616	43.1	42.7
	"Anoka County, MN"	"27003"	46	351373	13.1	13.9
	"Cass County, MN"	"27021"	10	29355	Unreliable	Unreliable
	"Dakota County, MN"	"27037"	39	421751	9.2	9.7
	"Hennepin County, MN"	"27053"	220	1252024	17.6	16.8
	"Mille Lacs County, MN"	"27095"	10	25872	Unreliable	Unreliable
	"Olmsted County, MN"	"27109"	15	154930	Unreliable	Unreliable
	"Ramsey County, MN"	"27123"	108	547974	19.7	20.1
	"St. Louis County, MN"	"27137"	37	200000	18.5	21.0
	"Scott County, MN"	"27139"	15	145827	Unreliable	Unreliable
	"Stearns County, MN"	"27145"	19	157822	Unreliable	Unreliable
	"Washington County, MN"	"27163"	28	256348	10.9	11.1
	"DeSoto County, MS"	"28033"	34	178751	19.0	19.8
	"Hancock County, MS"	"28045"	19	47053	Unreliable	Unreliable
	"Harrison County, MS"	"28047"	47	205027	22.9	22.9
	"Hinds County, MS"	"28049"	32	239497	13.4	13.9
	"Jackson County, MS"	"28059"	22	142152	15.5	15.2
	"Jones County, MS"	"28067"	12	67930	Unreliable	Unreliable
	"Lee County, MS"	"28081"	10	84933	Unreliable	Unreliable
	"Pearl River County, MS"	"28109"	21	55270	38.0	40.9
