"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Saline County, AR"	"05125"	30	119323	25.1
	"Sebastian County, AR"	"05131"	17	128107	Unreliable
	"Washington County, AR"	"05143"	20	231996	8.6
	"White County, AR"	"05145"	15	79016	Unreliable
	"Alameda County, CA"	"06001"	142	1663190	8.5
	"Butte County, CA"	"06007"	50	229294	21.8
	"Contra Costa County, CA"	"06013"	132	1147439	11.5
	"El Dorado County, CA"	"06017"	32	188987	16.9
	"Fresno County, CA"	"06019"	136	989255	13.7
	"Humboldt County, CA"	"06023"	51	136754	37.3
	"Imperial County, CA"	"06025"	22	182830	12.0
	"Kern County, CA"	"06029"	237	893119	26.5
	"Kings County, CA"	"06031"	16	150101	Unreliable
	"Lake County, CA"	"06033"	31	64246	48.3
	"Los Angeles County, CA"	"06037"	978	10163507	9.6
	"Madera County, CA"	"06039"	20	156890	12.7
	"Marin County, CA"	"06041"	38	260955	14.6
	"Mendocino County, CA"	"06045"	27	88018	30.7
	"Merced County, CA"	"06047"	34	272673	12.5
	"Monterey County, CA"	"06053"	46	437907	10.5
	"Napa County, CA"	"06055"	14	140973	Unreliable
	"Nevada County, CA"	"06057"	19	99814	Unreliable
	"Orange County, CA"	"06059"	386	3190400	12.1
	"Placer County, CA"	"06061"	45	386166	11.7
	"Riverside County, CA"	"06065"	430	2423266	17.7
	"Sacramento County, CA"	"06067"	258	1530615	16.9
	"San Bernardino County, CA"	"06071"	281	2157404	13.0
	"San Diego County, CA"	"06073"	507	3337685	15.2
	"San Francisco County, CA"	"06075"	191	884363	21.6
	"San Joaquin County, CA"	"06077"	151	745424	20.3
	"San Luis Obispo County, CA"	"06079"	49	283405	17.3
	"San Mateo County, CA"	"06081"	82	771410	10.6
	"Santa Barbara County, CA"	"06083"	71	448150	15.8
	"Santa Clara County, CA"	"06085"	173	1938153	8.9
	"Santa Cruz County, CA"	"06087"	45	275897	16.3
	"Shasta County, CA"	"06089"	41	179921	22.8
	"Siskiyou County, CA"	"06093"	10	43853	Unreliable
	"Solano County, CA"	"06095"	66	445458	14.8
	"Sonoma County, CA"	"06097"	78	504217	15.5
	"Stanislaus County, CA"	"06099"	84	547899	15.3
	"Sutter County, CA"	"06101"	10	96648	Unreliable
	"Tulare County, CA"	"06107"	44	464493	9.5
	"Tuolumne County, CA"	"06109"	13	54248	Unreliable
	"Ventura County, CA"	"06111"	153	854223	17.9
	"Yolo County, CA"	"06113"	28	219116	12.8
	"Yuba County, CA"	"06115"	20	77031	26.0
	"Adams County, CO"	"08001"	112	503167	22.3
	"Arapahoe County, CO"	"08005"	89	643052	13.8
	"Boulder County, CO"	"08013"	46	322514	14.3
	"Denver County, CO"	"08031"	156	704621	22.1
	"Douglas County, CO"	"08035"	30	335299	8.9
	"El Paso County, CO"	"08041"	193	699232	27.6
